name,domain
3M,3m.com
A. O. Smith,aosmith.com
AbbVie,abbvie.com
Accenture,accenture.com
AMD,amd.com
AES Corporation,aes.com
Aflac,aflac.com
Agilent Technologies,agilent.com
Air Products,airproducts.com
Akamai Technologies,akamai.com
Albemarle,albemarle.com
Alexandria Real Estate Equities,are.com
Align Technology,aligntech.com
Allegion,allegion.com
Alliant Energy,alliantenergy.com
Allstate,allstate.com
Alphabet,abc.xyz
Altria,altria.com
Amazon,amazon.com
Amcor,amcor.com
Ameren,ameren.com
American Electric Power,aep.com
American Tower,americantower.com
American Water Works,amwater.com
Ameriprise Financial,ameriprise.com
AMETEK,ametek.com
Amgen,amgen.com
Amphenol,amphenol.com
Analog Devices,analog.com
Aon,aon.com
APA Corporation,apacorp.com
Apollo Global Management,apollo.com
Apple,apple.com
Applied Materials,appliedmaterials.com
AppLovin,applovin.com
Aptiv,aptiv.com
Arch Capital Group,archgroup.com
Archer Daniels Midland,adm.com
Ares Management,aresmgmt.com
Arista Networks,arista.com
Arthur J. Gallagher,ajg.com
Assurant,assurant.com
AT&T,att.com
Atmos Energy,atmosenergy.com
ADP,adp.com
AutoZone,autozone.com
AvalonBay Communities,avalonbay.com
Avery Dennison,averydennison.com
Axon,axon.com
Baker Hughes,bakerhughes.com
Ball Corporation,ball.com
Bank of America,bankofamerica.com
Baxter International,baxter.com
Becton Dickinson,bd.com
Berkshire Hathaway,berkshirehathaway.com
Bio-Techne,bio-techne.com
Biogen,biogen.com
BlackRock,blackrock.com
Blackstone,blackstone.com
Block,block.xyz
BNY Mellon,bny.com
Boeing,boeing.com
Booking Holdings,bookingholdings.com
Bristol Myers Squibb,bms.com
Broadcom,broadcom.com
Broadridge,broadridge.com
Brown & Brown,bbrown.com
Brown-Forman,brown-forman.com
Builders FirstSource,bldr.com
Bunge,bunge.com
BXP,bxp.com
C.H. Robinson,chrobinson.com
Cadence Design Systems,cadence.com
Camden Property Trust,camdenliving.com
Carnival Corporation,carnivalcorp.com
Carrier Global,carrier.com
Carvana,carvana.com
Casey's General Stores,caseys.com
Cboe Global Markets,cboe.com
CBRE Group,cbre.com
CDW,cdw.com
Cencora,cencora.com
Centene,centene.com
CenterPoint Energy,centerpointenergy.com
CF Industries,cfindustries.com
Charles River Laboratories,criver.com
Chevron,chevron.com
Chipotle Mexican Grill,chipotle.com
Chubb,chubb.com
Church & Dwight,churchdwight.com
Ciena,ciena.com
Cincinnati Financial,cinfin.com
Cintas,cintas.com
Citizens Financial Group,citizensbank.com
Clorox,clorox.com
CME Group,cmegroup.com
CMS Energy,cmsenergy.com
Coca-Cola,coca-colacompany.com
Cognizant,cognizant.com
Coherent Corp,coherent.com
Colgate-Palmolive,colgatepalmolive.com
Comfort Systems USA,comfortsystemsusa.com
ConocoPhillips,conocophillips.com
Consolidated Edison,coned.com
Constellation Brands,cbrands.com
Constellation Energy,constellationenergy.com
The Cooper Companies,coopercos.com
Copart,copart.com
Corning,corning.com
Corpay,corpay.com
Corteva,corteva.com
CoStar Group,costargroup.com
Costco,costco.com
CRH,crh.com
CrowdStrike,crowdstrike.com
Crown Castle,crowncastle.com
CSX,csx.com
Cummins,cummins.com
Danaher,danaher.com
Darden Restaurants,darden.com
Datadog,datadoghq.com
DaVita,davita.com
Deckers Brands,deckers.com
Delta Air Lines,delta.com
Devon Energy,devonenergy.com
Dexcom,dexcom.com
Diamondback Energy,diamondbackenergy.com
Digital Realty,digitalrealty.com
Dollar General,dollargeneral.com
Dollar Tree,dollartree.com
Dominion Energy,dominionenergy.com
Domino's,dominos.com
DoorDash,doordash.com
Dover Corporation,dovercorporation.com
Dow,dow.com
D.R. Horton,drhorton.com
DTE Energy,dteenergy.com
Duke Energy,duke-energy.com
DuPont,dupont.com
Eaton,eaton.com
eBay,ebay.com
EchoStar,echostar.com
Ecolab,ecolab.com
Edison International,edisoninternational.com
Edwards Lifesciences,edwards.com
Electronic Arts,ea.com
Elevance Health,elevancehealth.com
EMCOR Group,emcorgroup.com
Emerson,emerson.com
Entergy,entergy.com
EOG Resources,eogresources.com
EQT Corporation,eqt.com
Equifax,equifax.com
Equinix,equinix.com
Equity Residential,equityapartments.com
Erie Indemnity,erieinsurance.com
Essex Property Trust,essexapartmenthomes.com
Estee Lauder Companies,elcompanies.com
Everest Group,everestglobal.com
Evergy,evergy.com
Eversource Energy,eversource.com
Exelon,exeloncorp.com
Expand Energy,expandenergy.com
Expedia Group,expediagroup.com
Expeditors International,expeditors.com
Extra Space Storage,extraspace.com
ExxonMobil,exxonmobil.com
F5,f5.com
FactSet,factset.com
FICO,fico.com
Fastenal,fastenal.com
Federal Realty Investment Trust,federalrealty.com
FedEx,fedex.com
FIS,fisglobal.com
Fifth Third Bank,53.com
First Solar,firstsolar.com
FirstEnergy,firstenergycorp.com
Flex,flex.com
Ford Motor Company,ford.com
Fortinet,fortinet.com
Fortive,fortive.com
Fox Corporation,foxcorporation.com
Franklin Templeton,franklintempleton.com
Freeport-McMoRan,fcx.com
Garmin,garmin.com
Gartner,gartner.com
GE HealthCare,gehealthcare.com
GE Vernova,gevernova.com
Gen Digital,gendigital.com
Generac,generac.com
General Dynamics,gd.com
General Mills,generalmills.com
General Motors,gm.com
Genuine Parts Company,genpt.com
Gilead Sciences,gilead.com
Global Payments,globalpayments.com
Globe Life,globelifeinsurance.com
GoDaddy,godaddy.com
Goldman Sachs,goldmansachs.com
Halliburton,halliburton.com
The Hartford,thehartford.com
Hasbro,hasbro.com
HCA Healthcare,hcahealthcare.com
Healthpeak Properties,healthpeak.com
Henry Schein,henryschein.com
The Hershey Company,thehersheycompany.com
Hilton,hilton.com
The Home Depot,homedepot.com
Hormel Foods,hormelfoods.com
Host Hotels & Resorts,hosthotels.com
Howmet Aerospace,howmet.com
Hubbell,hubbell.com
Huntington Bancshares,huntington.com
Huntington Ingalls Industries,hii.com
IBM,ibm.com
IDEX Corporation,idexcorp.com
IDEXX Laboratories,idexx.com
Illinois Tool Works,itw.com
Incyte,incyte.com
Ingersoll Rand,irco.com
Insulet Corporation,insulet.com
Interactive Brokers,interactivebrokers.com
Intercontinental Exchange,ice.com
IFF,iff.com
International Paper,internationalpaper.com
Intuit,intuit.com
Intuitive Surgical,intuitive.com
Invesco,invesco.com
Invitation Homes,invitationhomes.com
IQVIA,iqvia.com
Iron Mountain,ironmountain.com
J.B. Hunt,jbhunt.com
Jabil,jabil.com
Jack Henry & Associates,jackhenry.com
Jacobs,jacobs.com
Johnson & Johnson,jnj.com
Johnson Controls,johnsoncontrols.com
JPMorgan Chase,jpmorganchase.com
Kenvue,kenvue.com
Keurig Dr Pepper,keurigdrpepper.com
KeyCorp,key.com
Keysight Technologies,keysight.com
Kimberly-Clark,kimberly-clark.com
Kimco Realty,kimcorealty.com
Kinder Morgan,kindermorgan.com
KKR,kkr.com
KLA,kla.com
Kraft Heinz,kraftheinzcompany.com
Kroger,thekrogerco.com
L3Harris,l3harris.com
Labcorp,labcorp.com
Lam Research,lamresearch.com
Las Vegas Sands,sands.com
Leidos,leidos.com
Lennar,lennar.com
Lennox International,lennoxinternational.com
