name,domain
SAP,sap.com
Siemens,siemens.com
Bosch,bosch.com
Zalando,zalando.com
Delivery Hero,deliveryhero.com
HelloFresh,hellofresh.com
N26,n26.com
Trade Republic,traderepublic.com
Celonis,celonis.com
Personio,personio.com
DeepL,deepl.com
GetYourGuide,getyourguide.com
Flix,flix.com
AUTO1 Group,auto1-group.com
Check24,check24.de
IONOS,ionos.com
TeamViewer,teamviewer.com
Infineon,infineon.com
Zeiss,zeiss.com
Siemens Healthineers,siemens-healthineers.com
Contentful,contentful.com
Camunda,camunda.com
Commercetools,commercetools.com
Staffbase,staffbase.com
Raisin,raisin.com
Solaris,solarisgroup.com
Scalable Capital,scalable.capital
Sennder,sennder.com
Forto,forto.com
SumUp,sumup.com
Babbel,babbel.com
SoundCloud,soundcloud.com
Ableton,ableton.com
Mambu,mambu.com
wefox,wefox.com
Bitpanda,bitpanda.com
Dynatrace,dynatrace.com
Tricentis,tricentis.com
Proton,proton.me
SonarSource,sonarsource.com
Scandit,scandit.com
Nexthink,nexthink.com
Climeworks,climeworks.com
Frontify,frontify.com
Adyen,adyen.com
Booking.com,booking.com
ASML,asml.com
Philips,philips.com
TomTom,tomtom.com
Mollie,mollie.com
Bunq,bunq.com
Bird,bird.com
Backbase,backbase.com
WeTransfer,wetransfer.com
Framer,framer.com
Catawiki,catawiki.com
Elastic,elastic.co
Spotify,spotify.com
Klarna,klarna.com
King,king.com
Ericsson,ericsson.com
Nokia,nokia.com
Tink,tink.com
Trustly,trustly.com
Epidemic Sound,epidemicsound.com
Einride,einride.tech
Tibber,tibber.com
Wolt,wolt.com
Supercell,supercell.com
Unity,unity.com
Sinch,sinch.com
Truecaller,truecaller.com
Mentimeter,mentimeter.com
Storytel,storytel.com
Volvo Cars,volvocars.com
Polestar,polestar.com
Pleo,pleo.io
Trustpilot,trustpilot.com
Templafy,templafy.com
Kahoot,kahoot.com
Cognite,cognite.com
Oda,oda.com
Revolut,revolut.com
Wise,wise.com
Monzo,monzo.com
Starling Bank,starlingbank.com
Checkout.com,checkout.com
Deliveroo,deliveroo.co.uk
Ocado Group,ocadogroup.com
Arm,arm.com
Darktrace,darktrace.com
Sophos,sophos.com
Thought Machine,thoughtmachine.net
GoCardless,gocardless.com
Zopa,zopa.com
Improbable,improbable.io
Snyk,snyk.io
Wayve,wayve.ai
Onfido,onfido.com
Skyscanner,skyscanner.net
Just Eat Takeaway,justeattakeaway.com
Intercom,intercom.com
Workhuman,workhuman.com
Fenergo,fenergo.com
Doctolib,doctolib.fr
BlaBlaCar,blablacar.com
Contentsquare,contentsquare.com
Mirakl,mirakl.com
Dataiku,dataiku.com
OVHcloud,ovhcloud.com
Qonto,qonto.com
Alan,alan.com
PayFit,payfit.com
Back Market,backmarket.com
Ledger,ledger.com
Deezer,deezer.com
Spendesk,spendesk.com
Sorare,sorare.com
Criteo,criteo.com
Algolia,algolia.com
Aircall,aircall.io
360Learning,360learning.com
Veepee,veepee.com
Vestiaire Collective,vestiairecollective.com
Glovo,glovoapp.com
Cabify,cabify.com
TravelPerk,travelperk.com
Typeform,typeform.com
Factorial,factorialhr.com
Wallapop,wallapop.com
Farfetch,farfetch.com
OutSystems,outsystems.com
Talkdesk,talkdesk.com
Bending Spoons,bendingspoons.com
Satispay,satispay.com
Allegro,allegro.pl
CD Projekt,cdprojekt.com
DocPlanner,docplanner.com
Brainly,brainly.com
Bolt,bolt.eu
Pipedrive,pipedrive.com
Veriff,veriff.com
Vinted,vinted.com
Nord Security,nordsecurity.com
JetBrains,jetbrains.com
Productboard,productboard.com
Kiwi.com,kiwi.com
Mews,mews.com
GoodData,gooddata.com
